StartTimeISO,StartTimestamp,EndTimeISO,EndTimestamp,X,Y,Z
2025-04-21T22:26:52.794,1745274412794,,,90,540,140
2025-04-21T22:26:58.026,1745274418026,2025-04-21T22:27:06.226,1745274426226.0,90,225,140
2025-04-21T22:27:08.559,1745274428559,,,90,90,140
2025-04-21T22:27:11.502,1745274431502,,,315,90,140
2025-04-21T22:27:14.992,1745274434992,2025-04-21T22:27:21.436,1745274441436.0,315,315,140
2025-04-21T22:27:24.925,1745274444925,,,315,540,140
2025-04-21T22:27:28.435,1745274448435,,,540,540,140
2025-04-21T22:27:31.360,1745274451360,2025-04-21T22:27:37.196,1745274457196.0,540,315,140
2025-04-21T22:27:41.860,1745274461860,,,540,90,140
